2026-04-06 11:22:19.849 | admin | USER_LOGIN | User | 1 | role=ADMIN
2026-04-06 11:22:44.934 | admin | USER_LOGOUT | User | 1 | 
2026-04-06 11:22:49.584 | recep | USER_LOGIN | User | 4 | role=RECEPTIONIST
2026-04-06 11:23:25.607 | recep | USER_LOGOUT | User | 4 | 
2026-04-06 11:24:17.781 | admin | USER_LOGIN | User | 1 | role=ADMIN
2026-04-06 11:25:07.656 | admin | USER_LOGOUT | User | 1 | 
2026-04-06 11:25:12.554 | recep | USER_LOGIN | User | 4 | role=RECEPTIONIST
2026-04-06 11:25:40.688 | recep | APPOINTMENT_CREATE | Appointment | 3 | patient=dsx
2026-04-06 11:26:03.120 | recep | APPOINTMENT_STATUS_UPDATE | Appointment | 2 | status=CHECKED_IN
2026-04-06 11:26:05.293 | recep | APPOINTMENT_STATUS_UPDATE | Appointment | 3 | status=CHECKED_IN
2026-04-06 11:26:08.323 | recep | USER_LOGOUT | User | 4 | 
2026-04-06 11:27:34.691 | apleshbhai | USER_LOGIN | User | 7 | role=DOCTOR
2026-04-06 11:28:29.080 | apleshbhai | PASSWORD_CHANGE | User | 7 | 
2026-04-06 11:28:33.742 | apleshbhai | USER_LOGIN | User | 7 | role=DOCTOR
2026-04-06 11:28:41.795 | apleshbhai | APPOINTMENT_STATUS_UPDATE | Appointment | 3 | status=IN_CONSULTATION
2026-04-06 12:30:35.442 | apleshbhai | USER_LOGIN | User | 7 | role=DOCTOR
2026-04-06 12:30:39.385 | apleshbhai | APPOINTMENT_STATUS_UPDATE | Appointment | 3 | status=COMPLETED
2026-04-06 12:30:43.451 | apleshbhai | USER_LOGOUT | User | 7 | 
2026-04-06 12:30:49.364 | recep | USER_LOGIN | User | 4 | role=RECEPTIONIST
2026-04-06 13:36:21.590 | anonymousUser | USER_LOGOUT | User | null | userMissing=true
2026-04-06 13:37:13.560 | farm | USER_LOGIN | User | 8 | role=PHARMACIST
2026-04-06 13:38:48.527 | farm | MEDICINE_CREATE | Medicine | 2 | name=XYZ
